GA5,GA10,GA15,GA,GO5,GO10,GO15,GO,MA5,MA10,MA15,MA,MS5,MS10,MS15,MS,aa
924.933,924.523,924.532,921.97,990.912,990.499,990.683,992.079,72.864,72.8302,72.8285,72.92,57.0698,57.0478,57.055,57.135,1
924.739,924.147,923.957,922.57,991.023,990.688,990.967,991.8,72.8685,72.8395,72.8429,72.8894,57.0777,57.0706,57.0893,57.17,2
924.545,923.788,923.411,922.058,991.135,990.881,991.228,992.07,72.8742,72.85,72.8575,72.91,57.0855,57.0928,57.1225,57.16,3
924.353,923.451,922.928,921.89,991.247,991.077,991.45,992.17,72.8809,72.8616,72.8717,72.92,57.0932,57.1137,57.1533,57.22,4
924.163,923.141,922.534,921.02,991.36,991.272,991.622,992.2,72.8887,72.8738,72.8853,72.83,57.1007,57.1329,57.1805,57.22,5
923.975,922.863,922.247,921.195,991.473,991.464,991.742,991.3201,72.8976,72.8863,72.8981,72.83,57.108,57.1499,57.2031,57.28,6
923.791,922.62,922.068,920.65,991.585,991.65,991.813,991.5,72.9073,72.8989,72.9105,72.88,57.1151,57.1644,57.2203,57.242,7
923.61,922.413,921.99,922.06,991.696,991.828,991.848,992.3,72.9178,72.9114,72.9228,72.92,57.122,57.1761,57.2318,57.27,8
923.433,922.243,921.992,922.89,991.806,991.996,991.863,992.01,72.929,72.9236,72.9353,73.01,57.1286,57.1852,57.2375,57.27,9
923.261,922.111,922.048,922.555,991.914,992.154,991.879,991.05,72.9406,72.9356,72.9484,72.94,57.1349,57.1916,57.2376,57.225,10
923.094,922.014,922.128,922.655,992.021,992.3,991.915,991.4601,72.9524,72.9472,72.9621,73,57.1409,57.1955,57.2326,57.24,11
922.932,921.95,922.206,923.31,992.126,992.435,991.987,991.655,72.9644,72.9586,72.9766,72.9878,57.1465,57.1972,57.2236,57.1854,12
922.776,921.915,922.261,922.21,992.228,992.559,992.104,991.96,72.9762,72.9698,72.9914,72.95,57.1517,57.1971,57.2114,57.165,13
922.626,921.906,922.28,921.5,992.329,992.672,992.27,992.39,72.9877,72.9809,73.0062,72.98,57.1564,57.1957,57.1974,57.15,14
922.483,921.918,922.262,921.98,992.426,992.774,992.478,992.4148,72.9987,72.9921,73.0203,72.99,57.1608,57.1934,57.1828,57.155,15
922.347,921.944,922.215,922.325,992.522,992.868,992.716,993.139,73.009,73.0034,73.033,73.03,57.1647,57.1906,57.1688,57.14,16
922.219,921.981,922.151,921.63,992.615,992.954,992.964,992.91,73.0185,73.0147,73.0438,73.075,57.1681,57.1878,57.1568,57.1266,17
922.097,922.022,922.089,922.205,992.705,993.034,993.203,993.11,73.027,73.0261,73.0521,73.1,57.171,57.1852,57.1475,57.145,18
921.984,922.061,922.043,921.65,992.793,993.108,993.411,993.555,73.0345,73.0374,73.0577,73.07,57.1734,57.1833,57.1417,57.14,19
921.878,922.095,922.026,922.115,992.879,993.178,993.572,993.159,73.0409,73.0485,73.0607,73.07,57.1753,57.182,57.1398,57.14,20
921.78,922.12,922.043,921.405,992.962,993.246,993.676,993.39,73.0461,73.0592,73.0615,73.01,57.1766,57.1815,57.1418,57.19,21
921.691,922.131,922.09,922.3,993.043,993.311,993.72,993.29,73.0501,73.0692,73.0606,73.03,57.1774,57.1818,57.1476,57.17,22
921.61,922.127,922.157,922.78,993.123,993.375,993.711,993.6753,73.0531,73.0781,73.0588,73.04,57.1776,57.1827,57.1564,57.24,23
921.536,922.105,922.228,921.49,993.2,993.437,993.66,993.7899,73.0549,73.0857,73.057,73.0116,57.1773,57.1839,57.1676,57.218,24
921.472,922.066,922.285,921.8,993.275,993.499,993.586,994.379,73.0558,73.0917,73.0558,73.07,57.1765,57.1852,57.1799,57.23,25
921.415,922.01,922.309,922.46,993.35,993.56,993.509,993.93,73.0558,73.0957,73.0558,73.07,57.175,57.1861,57.1924,57.18,26
921.366,921.938,922.287,922.28,993.423,993.62,993.447,993.8256,73.0551,73.0977,73.0571,73.11,57.1731,57.1865,57.2036,57.2,27
921.325,921.854,922.212,922.63,993.495,993.679,993.416,993.44,73.0537,73.0974,73.0598,73.11,57.1706,57.1858,57.2125,57.18,28
921.292,921.759,922.084,922.91,993.566,993.735,993.427,992.77,73.0519,73.0949,73.0633,73.06,57.1676,57.1837,57.2181,57.1848,29
921.267,921.657,921.912,922.8825,993.636,993.789,993.482,993.375,73.0497,73.0902,73.0669,73.07,57.164,57.1801,57.2194,57.18,30
921.249,921.553,921.71,921.865,993.707,993.839,993.576,993.27,73.0473,73.0835,73.0698,73.05,57.1599,57.1746,57.216,57.2175,31
921.238,921.451,921.496,921.8,993.777,993.886,993.7,993.3553,73.0448,73.075,73.071,73.03,57.1554,57.1673,57.2076,57.2,32
921.234,921.355,921.288,921.02,993.847,993.928,993.838,993.39,73.0423,73.0652,73.0697,73.06,57.1504,57.1581,57.1942,57.15,33
921.236,921.27,921.103,921.345,993.918,993.967,993.973,993.52,73.04,73.0545,73.0653,73.09,57.1449,57.1473,57.1762,57.15,34
921.245,921.198,920.953,921.945,993.989,994.001,994.092,994.12,73.0378,73.0433,73.0577,73.085,57.139,57.1349,57.1545,57.14,35
921.259,921.143,920.846,921.1142,994.06,994.031,994.181,994.9,73.0359,73.0321,73.047,73.09,57.1327,57.1214,57.1299,57.13,36
921.279,921.107,920.783,920.95,994.133,994.058,994.234,994.97,73.0342,73.0214,73.034,73.0669,57.126,57.1072,57.1035,57.12,37
921.304,921.093,920.761,920.54,994.206,994.082,994.252,994.65,73.0327,73.0116,73.0195,73.06,57.119,57.0927,57.0768,57.08,38
921.334,921.101,920.774,920.02,994.281,994.106,994.239,994.8884,73.0314,73.0031,73.0049,72.98,57.1116,57.0785,57.0509,57.06,39
921.368,921.131,920.813,920.24,994.356,994.129,994.206,994.415,73.0302,72.9961,72.9915,72.98,57.104,57.0649,57.0271,57.0652,40
921.406,921.183,920.874,920.17,994.433,994.153,994.166,994.76,73.0291,72.9907,72.9804,72.97,57.0961,57.0525,57.0066,57.02,41
921.448,921.254,920.953,920.15,994.51,994.181,994.134,993.8,73.0278,72.987,72.9728,72.94,57.088,57.0416,56.9901,57.015,42
921.492,921.341,921.047,921.005,994.589,994.214,994.121,994.19,73.0264,72.9848,72.9693,72.91,57.0796,57.0326,56.9784,57,43
921.54,921.443,921.158,921.36,994.668,994.254,994.137,994,73.0246,72.984,72.9699,72.93,57.0712,57.0256,56.9718,56.96,44
921.589,921.556,921.29,921.6893,994.749,994.301,994.188,993.95,73.0224,72.9842,72.9744,72.93,57.0625,57.0208,56.9702,56.92,45
